,tweet_id,retweet_count,favorite_count
1844,675334060156301312,1360,2877
1845,675166823650848770,1696,3730
1846,675153376133427200,2742,6488
1847,675149409102012420,1769,3862
1848,675147105808306176,253,975
1849,675146535592706048,328,1237
1850,675145476954566656,948,2207
1851,675135153782571009,518,1342
1852,675113801096802304,819,2012
1853,675111688094527488,265,995
1854,675109292475830276,1190,2888
1855,675047298674663426,342,1093
1856,675015141583413248,1260,2800
1857,675006312288268288,236,1011
1858,675003128568291329,497,1599
1859,674999807681908736,1154,2317
1860,674805413498527744,370,887
1861,674800520222154752,901,3097
1862,674793399141146624,1144,2578
1863,674790488185167872,265,1139
1864,674788554665512960,218,835
1865,674781762103414784,1264,2064
1866,674774481756377088,496,1163
1867,674767892831932416,833,1885
1868,674764817387900928,249,807
1869,674754018082705410,469,1401
1870,674752233200820224,487,1500
1871,674743008475090944,582,1447
1872,674742531037511680,54,503
1873,674739953134403584,414,1145
1874,674737130913071104,96,663
1875,674690135443775488,487,1184
1876,674670581682434048,686,1659
1877,674664755118911488,266,948
1878,674646392044941312,524,1484
1879,674644256330530816,282,1059
1880,674638615994089473,606,1726
1881,674632714662858753,602,1543
1882,674606911342424069,103,962
1883,674468880899788800,2156,6402
1884,674447403907457024,372,1087
1885,674436901579923456,413,1146
1886,674422304705744896,557,1472
1887,674416750885273600,146,704
1888,674410619106390016,484,1230
1889,674394782723014656,598,1538
1890,674372068062928900,322,867
1891,674330906434379776,76,576
1892,674318007229923329,538,1450
1893,674307341513269249,7263,11634
1894,674291837063053312,6160,15161
1895,674271431610523648,760,1610
1896,674269164442398721,236,920
1897,674265582246694913,887,1680
1898,674262580978937856,475,1337
1899,674255168825880576,584,1509
1900,674082852460433408,177,772
1901,674075285688614912,300,1005
1902,674063288070742018,2320,6530
1903,674053186244734976,1355,3410
1904,674051556661161984,504,1480
1905,674045139690631169,666,1458
1906,674042553264685056,134,738
1907,674038233588723717,426,1125
1908,674036086168010753,224,864
1909,674024893172875264,1281,1828
1910,674019345211760640,312,1163
1911,674014384960745472,675,1602
1912,674008982932058114,368,1232
1913,673956914389192708,1005,1995
1914,673919437611909120,383,1196
1915,673906403526995968,1683,3272
1916,673887867907739649,262,953
1917,673716320723169284,792,3146
1918,673715861853720576,2173,3629
1919,673711475735838725,308,1059
1920,673709992831262724,284,868
1921,673708611235921920,299,1101
1922,673707060090052608,405,1124
1923,673705679337693185,413,1285
1924,673700254269775872,595,1477
1925,673697980713705472,2038,3897
1926,673689733134946305,676,1782
1927,673688752737402881,516,1294
1928,673686845050527744,455,1479
1929,673680198160809984,484,1404
1930,673662677122719744,374,1278
1931,673656262056419329,253,734
1932,673636718965334016,376,1139
1933,673612854080196609,748,1624
1934,673583129559498752,381,1219
1935,673580926094458881,276,851
1936,673576835670777856,582,1416
1937,673363615379013632,318,1046
1938,673359818736984064,696,1478
1939,673355879178194945,605,1522
1940,673352124999274496,558,1688
1941,673350198937153538,221,758
1942,673345638550134785,1326,2586
1943,673343217010679808,280,992
1944,673342308415348736,610,1300
1945,673320132811366400,8257,13774
1946,673317986296586240,270,885
1947,673295268553605120,3285,7688
1948,673270968295534593,382,1086
1949,673240798075449344,757,1449
1950,673213039743795200,879,2299
1951,673148804208660480,651,1733
1952,672997845381865473,747,2007
1953,672995267319328768,308,975
1954,672988786805112832,302,1000
1955,672984142909456390,563,1277
1956,672980819271634944,1036,1851
1957,672975131468300288,948,1724
1958,672970152493887488,368,971
1959,672968025906282496,566,1339
1960,672964561327235073,662,1454
1961,672902681409806336,521,1394
1962,672898206762672129,435,912
1963,672884426393653248,856,1587
1964,672877615439593473,381,1053
1965,672834301050937345,589,1341
1966,672828477930868736,507,1276
1967,672640509974827008,333,991
1968,672622327801233409,513,1321
1969,672614745925664768,605,1248
1970,672609152938721280,401,1139
1971,672604026190569472,415,1134
1972,672594978741354496,623,1355
1973,672591762242805761,345,969
1974,672591271085670400,190,744
1975,672538107540070400,382,1050
1976,672523490734551040,178,655
1977,672488522314567680,451,1135
1978,672482722825261057,626,1160
1979,672481316919734272,128,729
1980,672475084225949696,722,1464
1981,672466075045466113,557,1382
1982,672272411274932228,3505,6588
1983,672267570918129665,634,1534
1984,672264251789176834,349,1172
1985,672256522047614977,1607,2875
1986,672254177670729728,765,1463
1987,672248013293752320,629,1759
1988,672245253877968896,162,701
1989,672239279297454080,330,914
1990,672231046314901505,1044,1875
1991,672222792075620352,217,802
1992,672205392827572224,1192,2307
1993,672169685991993344,382,1043
1994,672160042234327040,369,887
1995,672139350159835138,740,1783
1996,672125275208069120,1178,2456
1997,672095186491711488,377,1017
1998,672082170312290304,377,960
1999,672068090318987265,530,1324
2000,671896809300709376,4292,8634
2001,671891728106971137,585,1357
2002,671882082306625538,1419,3537
2003,671879137494245376,707,1448
2004,671874878652489728,576,1273
2005,671866342182637568,516,1146
2006,671855973984772097,466,924
2007,671789708968640512,3601,7200
2008,671768281401958400,542,1219
2009,671763349865160704,954,1714
2010,671744970634719232,796,1373
2011,671743150407421952,238,755
2012,671735591348891648,779,1477
2013,671729906628341761,4498,8677
2014,671561002136281088,7458,13097
2015,671550332464455680,213,936
2016,671547767500775424,613,1376
2017,671544874165002241,1082,2026
2018,671542985629241344,585,1113
2019,671538301157904385,409,940
2020,671536543010570240,420,1201
2021,671533943490011136,597,1041
2022,671528761649688577,265,852
2023,671520732782923777,540,1423
2024,671518598289059840,302,969
2025,671511350426865664,748,1643
2026,671504605491109889,3655,7182
2027,671497587707535361,460,935
2028,671488513339211776,483,1031
2029,671486386088865792,212,591
2030,671485057807351808,239,775
2031,671390180817915904,755,1449
2032,671362598324076544,301,1132
2033,671357843010908160,151,407
2034,671355857343524864,116,486
2035,671347597085433856,442,983
2036,671186162933985280,218,753
2037,671182547775299584,356,1148
2038,671166507850801152,362,891
2039,671163268581498880,1140,1693
2040,671159727754231808,84,381
2041,671154572044468225,225,737
2042,671151324042559489,159,687
2043,671147085991960577,235,689
2044,671141549288370177,673,1191
2045,671138694582165504,417,951
2046,671134062904504320,199,765
2047,671122204919246848,2602,3572
2048,671115716440031232,796,1384
2049,671109016219725825,454,1169
2050,670995969505435648,301,1128
2051,670842764863651840,9026,25059
2052,670840546554966016,201,608
2053,670838202509447168,718,1139
2054,670833812859932673,128,459
2055,670832455012716544,225,747
2056,670826280409919488,4189,5667
2057,670823764196741120,198,792
2058,670822709593571328,99,625
2059,670815497391357952,1588,3241
2060,670811965569282048,277,1156
2061,670807719151067136,504,1174
2062,670804601705242624,987,2009
2063,670803562457407488,89,347
2064,670797304698376195,244,748
2065,670792680469889025,286,851
2066,670789397210615808,248,676
2067,670786190031921152,207,610
2068,670783437142401025,408,833
2069,670782429121134593,797,1600
2070,670780561024270336,297,796
2071,670778058496974848,74,334
2072,670764103623966721,436,1095
2073,670755717859713024,115,452
2074,670733412878163972,527,982
2075,670727704916926465,372,843
2076,670717338665226240,510,1238
2077,670704688707301377,383,779
2078,670691627984359425,251,600
2079,670679630144274432,292,762
2080,670676092097810432,44,257
2081,670668383499735048,5207,10940
2082,670474236058800128,788,1564
2083,670468609693655041,87,359
2084,670465786746662913,570,990
2085,670452855871037440,214,561
2086,670449342516494336,694,1217
2087,670444955656130560,2039,6855
2088,670442337873600512,203,656
2089,670435821946826752,533,1075
2090,670434127938719744,667,1432
2091,670433248821026816,117,334
2092,670428280563085312,651,1412
2093,670427002554466305,170,529
2094,670421925039075328,657,1340
2095,670420569653809152,327,639
2096,670417414769758208,330,581
2097,670411370698022913,931,2070
2098,670408998013820928,232,569
2099,670403879788544000,162,443
2100,670385711116361728,219,575
2101,670374371102445568,277,759
2102,670361874861563904,69,336
2103,670338931251150849,114,436
2104,670319130621435904,1265,3938
2105,670303360680108032,139,435
2106,670290420111441920,297,724
2107,670093938074779648,348,1052
2108,670086499208155136,262,713
2109,670079681849372674,1282,2264
2110,670073503555706880,817,1601
2111,670069087419133954,252,647
2112,670061506722140161,353,784
2113,670055038660800512,342,683
2114,670046952931721218,181,660
2115,670040295598354432,115,770
2116,670037189829525505,288,597
2117,670003130994700288,96,342
2118,669993076832759809,87,332
2119,669972011175813120,168,454
2120,669970042633789440,62,308
2121,669942763794931712,172,520
2122,669926384437997569,108,384
2123,669923323644657664,59,242
2124,669753178989142016,415,831
2125,669749430875258880,67,277
2126,669684865554620416,91,532
2127,669683899023405056,114,396
2128,669682095984410625,137,360
2129,669680153564442624,299,681
2130,669661792646373376,455,822
2131,669625907762618368,1865,3602
2132,669603084620980224,375,962
2133,669597912108789760,155,520
2134,669583744538451968,959,1516
2135,669573570759163904,146,445
2136,669571471778410496,1049,1615
2137,669567591774625800,58,240
